index,nome_sub_familia,quantidade,total_qtd,percent_qtd
10,ALCOOL,542.0,572621.6050000001,0.09465238392463378
71,CONDICIONADOR,534.0,572621.6050000001,0.0932553007670746
245,SABAO PEDRA,533.0,572621.6050000001,0.0930806653723797
139,GELEIAS/OUTROS,524.0,572621.6050000001,0.09150894682012564
154,INSETICIDAS,504.0,572621.6050000001,0.08801623892622772
76,COPOS,503.0,572621.6050000001,0.08784160353153282
23,APRESUNTADO P/FATIAR,492.879000000001,572621.6050000001,0.08607411870182595
124,FESTINHA,487.0,572621.6050000001,0.08504743721641449
41,BOLOS,480.0,572621.6050000001,0.08382498945355021
18,ALUMINIOS,473.0,572621.6050000001,0.08260254169068593
177,LIMPADOR GATILHO/REFIL,469.0,572621.6050000001,0.08190400011190635
223,POLVILHO,466.0,572621.6050000001,0.08138009392782165
34,BATATAS,463.0,572621.6050000001,0.08085618774373697
284,TORRADAS,460.0,572621.6050000001,0.08033228155965227
208,PAO DE MEL,460.0,572621.6050000001,0.08033228155965227
289,VELAS,458.0,572621.6050000001,0.07998301077026249
276,TAPIOCA/PAO DE QUIJO,449.0,572621.6050000001,0.07841129221800842
140,GELO,428.0,572621.6050000001,0.0747439489294156
260,SELETAS,425.0,572621.6050000001,0.07422004274533091
224,PRESUNTO,402.60599999999863,572621.6050000001,0.07030925771653317
136,FUBA,373.0,572621.6050000001,0.0651390022211963
219,PILHAS/BATERIAS,363.0,572621.6050000001,0.06339264827424734
149,HASTES FLEXIVEIS,360.0,572621.6050000001,0.06286874209016266
68,COBERTURAS,359.0,572621.6050000001,0.06269410669546775
25,ATUM,348.0,572621.6050000001,0.0607731173538239
288,VASSOURAS/RODOS/PA,332.0,572621.6050000001,0.05797895103870556
206,PALITO,314.0,572621.6050000001,0.05483551393419743
126,FILTROS P/CAFE,287.0,572621.6050000001,0.05012035827743523
267,SOPAS E CREMES,272.168,572621.6050000001,0.047530166103320524
130,FOSFOROS,262.0,572621.6050000001,0.04575447341006282
102,DOCES EM GERAL,260.0,572621.6050000001,0.04540520262067303
161,LAMPADAS,258.0,572621.6050000001,0.04505593183128324
48,CANUDO/EMBALAGEM/PRATOS PLAS,253.0,572621.6050000001,0.04418275485780875
195,MISTURA P/ BOLO,221.0,572621.6050000001,0.03859442222757207
286,UTENSILIOS PLASTICOS,199.0,572621.6050000001,0.034752443544284355
214,PATE,194.0,572621.6050000001,0.03387926657080988
120,FAROFA,193.0,572621.6050000001,0.03370463117611498
229,PURIFICADORES AR/SANITARIO,192.0,572621.6050000001,0.03352999578142008
172,LENCOS UMEDECIDOS,191.0,572621.6050000001,0.03335536038672519
162,LAVA LOUCAS ESPECIAIS,187.0,572621.6050000001,0.032656818807945596
117,FARINHA DE ROSCA,185.0,572621.6050000001,0.03230754801855581
145,GRAOS,183.0,572621.6050000001,0.03195827722916601
61,CHAMPIGNON,167.72599999999997,572621.6050000001,0.029290896210596166
201,OLEOS ESPECIAIS,167.0,572621.6050000001,0.029164110914047674
134,FRUTAS EM CALDA,167.0,572621.6050000001,0.029164110914047674
221,PO MINGAUS,162.0,572621.6050000001,0.028290933940573196
184,LOUCAS/VIDROS,160.0,572621.6050000001,0.027941663151183405
159,JORNAIS,158.0,572621.6050000001,0.027592392361793613
266,SOLVENTES,158.0,572621.6050000001,0.027592392361793613
181,LIMPADOR SANITARIO,155.0,572621.6050000001,0.02706848617770892
222,POLPA,150.0,572621.6050000001,0.02619530920423444
207,PALMITO,149.0,572621.6050000001,0.026020673809539544
49,CAPUCCINO,146.0,572621.6050000001,0.025496767625454855
216,PEIXES,146.0,572621.6050000001,0.025496767625454855
87,CULINARIOS,144.0,572621.6050000001,0.025147496836065063
47,CALÇADOS,142.0,572621.6050000001,0.02479822604667527
275,TALCO,129.0,572621.6050000001,0.02252796591564162
239,REMOVEDOR/QUEROSENE,128.0,572621.6050000001,0.02235333052094672
293,WHISKY,127.0,572621.6050000001,0.022178695126251823
96,DETERGENTE /SABAO PO 500G,120.0,572621.6050000001,0.020956247363387553
30,BACON,114.0,572621.6050000001,0.019908434995218174
15,ALIMENTOS P/VITAMINAS,111.0,572621.6050000001,0.019384528811133485
