index,nome_sub_familia,quantidade,total_freq,percent_freq
44,BRINQUEDOS,6,477485,0.0012565839764599935
84,CREME/GEL DENTAL INF,6,477485,0.0012565839764599935
199,OLEO CORPORAL,5,477485,0.0010471533137166613
62,CHAS,5,477485,0.0010471533137166613
55,CEBOLINHA CONSERVA,5,477485,0.0010471533137166613
168,LEITE LV MODIFICADO,4,477485,0.000837722650973329
218,PICLES,4,477485,0.000837722650973329
92,DESINFETANTE 500ML,4,477485,0.000837722650973329
163,LAVA ROUPAS ESPECIAIS,3,477485,0.0006282919882299968
160,JURUBEBA,3,477485,0.0006282919882299968
4,ACHOCOLATADO LIGHT,3,477485,0.0006282919882299968
243,RUM,3,477485,0.0006282919882299968
97,DETERGENTE GEL,2,477485,0.0004188613254866645
78,CORANTE ROUPAS,2,477485,0.0004188613254866645
226,PROTETOR SOLAR,2,477485,0.0004188613254866645
152,HIGIENE ANIMAL,1,477485,0.00020943066274333225
79,CREME ASSADURA,1,477485,0.00020943066274333225
